name,category,year,courseid,credit,duration,schedule,current_students,total_students,note
프로젝트관리론,전공,4,D03322101,3,3,금 1 2 3 ( ),21,60,"비대면(학기 전체), 1전공자 우선수강(신청기간 1전공만/변경기간 학부 홈페이지 참고)"
회계사례분석,전공,4,D10407101,3,3,목 10 11 12 ( ),14,60,"비대면(학기 전체), 1전공자 우선수강(신청기간 1전공만/변경기간 학부 홈페이지 참고)"
경영정보학개론,이중(부)전공,3,P04205205,3,3,월 1 2 3 ( ),26,50,"전필, 원어, 비대면(학기 전체), 이중전공, 1전공자 우선수강(신청기간 이중,1전공만/변경기간 학부 홈페이지 참고)"
경영정보학개론,이중(부)전공,3,P04205206,3,3,화 7 8 9 ( ),82,60,"전필, 비대면(학기 전체), 이중전공, 1전공자 우선수강(신청기간 이중,1전공만/변경기간 학부 홈페이지 참고)"
국제경영론,이중(부)전공,3,D01305101,3,3,금 1 2 3 ( ),60,50,"전필, 비대면(학기 전체), 이중전공, 1전공자 우선수강(신청기간 이중,1전공만/변경기간 학부 홈페이지 참고)"
국제경영론,이중(부)전공,3,D01305102,3,3,금 7 8 9 ( ),62,60,"전필, 비대면(학기 전체), 이중전공, 1전공자 우선수강(신청기간 이중,1전공만/변경기간 학부 홈페이지 참고)"
기업법2,이중(부)전공,3,D03213101,3,3,목 7 8 9 ( ),4,50,"원어, 비대면(학기 전체), 이중전공, 1전공자 우선수강(신청기간 이중,1전공만/변경기간 학부 홈페이지 참고)"
마케팅관리,이중(부)전공,3,D01405401,3,3,수 7 8 9 ( ),12,50,"전필, 원어, 비대면(학기 전체), 이중전공, 1전공자 우선수강(신청기간 이중,1전공만/변경기간 학부 홈페이지 참고)"
마케팅관리,이중(부)전공,3,D01405402,3,3,화 7 8 9 ( ),36,50,"전필, 원어, 비대면(학기 전체), 이중전공, 1전공자 우선수강(신청기간 이중,1전공만/변경기간 학부 홈페이지 참고)"
마케팅관리,이중(부)전공,3,D01405403,3,3,화 4 5 6 ( ),67,60,"전필, 비대면(학기 전체), 이중전공, 1전공자 우선수강(신청기간 이중,1전공만/변경기간 학부 홈페이지 참고)"
운영관리,이중(부)전공,3,D03210105,3,3,목 1 2 3 ( ),69,60,"전필, 비대면(학기 전체), 이중전공, 1전공자 우선수강(신청기간 이중,1전공만/변경기간 학부 홈페이지 참고)"
